Team,Year,attend,n345,avgstar,pf,pa,confcham,natchamp,yrsrank,wksrank,finpoll,numbowls,expec
Mississippi,2006,2.080221821,2.735656071,5.295019506,1.951708164,3.912390761,0,0,0,0,0,1.82952443,0.626949117
Mississippi St.,2006,1.605646207,1.481813705,4.459842928,2.294295235,4.396104528,0,0,0,0,0,0.753333589,-0.020177614
Missouri,2006,2.162075869,1.595799375,4.209289954,4.059137723,3.613626376,0,0,1.738006676,1.176633481,0,1.076190841,0.336882945
Navy (MD),2006,1.286581683,0.11398567,1.971016725,3.809983489,3.713214504,0,0,0,0,0,0.538095421,-0.82306082
Nebraska,2006,3.288235991,2.393699062,5.462054822,4.4432505,3.642080127,5.755686118,0,2.524247792,2.549372541,2.406107199,3.551429776,1.738215538
Nevada,2006,0.646790034,0.341957009,3.273892187,4.059137723,3.542491999,0,0,0,0,0,0,-0.850758099
Nevada-Las Vegas,2006,0.743916802,0.341957009,3.591259286,2.470779484,5.434666439,0,0,0,0,0,0,-0.794493844
New Mexico,2006,1.107098221,0.11398567,3.407520439,2.948325098,4.438785155,0,0,0,0,0,0,-0.654706081
New Mexico St.,2006,0.680351353,0,2.939821555,3.882653474,5.249717058,0,0,0,0,0,0,-0.984937839
North Carolina,2006,1.889061496,2.279713392,4.894134748,2.242388103,5.207036432,0,0,0,0,0,0.860952673,0.204600248
North Carolina St.,2006,2.18612557,1.139856696,4.142475828,2.180099544,3.72744138,0,0,0,0,0,0.753333589,0.164132298
North Texas,2006,0.605109041,0,3.340706313,1.598739666,4.324970151,0,0,0,0,0,0,-0.878670108
Northern Illinois,2006,0.803113092,0.11398567,3.440927502,3.436252139,3.912390761,0,0,0,0,0,0.107619084,-0.733457084
Northwestern (IL),2006,1.082468544,0.455942678,3.74159107,2.055522428,4.467238906,0,0,0,0,0,0.215238168,-0.536199065
Notre Dame (IN),2006,3.12394792,3.07761308,5.779421921,4.18371484,4.410331404,0,0,3.186345573,2.745478122,2.406107199,2.367619851,1.507548937
Ohio,2006,0.646635374,0.341957009,3.257188655,2.865273687,3.5993995,1.438921529,0,0,0,0,0,-0.857221071
Ohio St.,2006,4.063548866,2.279713392,6.013271363,4.671641881,2.361661332,3.957034206,0,3.227726685,2.745478122,2.406107199,3.12095344,2.184539071
Oklahoma,2006,3.269560741,3.191598749,5.913050174,4.401724794,3.44290387,4.796405098,0,2.855296683,2.745478122,2.406107199,3.65904886,1.892943613
Oklahoma St.,2006,1.583491096,2.735656071,5.061170064,4.754693292,4.73754954,0,0,0,0,0,0.860952673,0.136865104
Oregon,2006,2.25719205,1.481813705,4.459842928,3.976086312,4.908272046,0,0,1.696625565,2.157161381,0,1.183809925,0.498699412
Oregon St.,2006,1.578696622,1.823770714,3.942033449,4.03837487,4.424558279,0,0,0.993146672,0.58831674,2.406107199,0.430476337,-0.182849331
Penn St.,2006,4.159090364,2.621670401,6.063381958,3.010613657,2.660425718,0,0,2.48286668,0.980527901,2.406107199,2.260000767,1.910769726
Pittsburgh (PA),2006,1.67439278,2.393699062,5.144687722,3.955323459,3.898163886,0,0,0,0,0,1.29142901,0.311726174
Purdue (IN),2006,2.144251251,1.253842366,3.84181226,3.77883921,5.320851436,0,0,0,0,0,0.430476337,-0.052608781
Rice (TX),2006,0.570697089,0.11398567,3.440927502,3.633499241,6.146010214,0,0,0,0,0,0.645714505,-0.804397391
Rutgers (NJ),2006,1.589638849,1.367828035,4.242697017,4.017612018,2.646198842,0,0,0.579335559,2.157161381,2.406107199,0,0.008954103
San Diego St. (CA),2006,1.130065299,0.569928348,3.808405197,1.764842488,4.623734536,0,0,0,0,0,0.107619084,-0.525581112
San Jose St. (CA),2006,0.728992067,0.11398567,3.407520439,3.363582154,3.841256384,0,0,0,0,0,0,-0.791985324
South Carolina,2006,2.924242604,2.279713392,5.144687722,3.591973535,3.457130746,0,0,0,0,0,0.215238168,0.639283306
South Florida,2006,1.168537088,1.025871027,3.942033449,3.104046494,3.129912609,0,0,0,0,0,0,-0.442462437
