"Coach","Year","Rating","Rank"
"Dan Enos",2014,1485.69424663996,198
"Dan Hawkins",2005,1533.93590272597,27
"Dan Hawkins",2006,1463.94426775588,98
"Dan Hawkins",2007,1473.60436894171,109
"Dan Hawkins",2008,1464.03100632913,129
"Dan Hawkins",2009,1440.62854769663,164
"Dan Hawkins",2010,1457.25526287091,168
"Dan McCarney",2005,1521.10222400674,34
"Dan McCarney",2006,1470.48419078685,97
"Dan McCarney",2011,1462.57304536546,186
"Dan McCarney",2012,1421.30941284061,240
"Dan McCarney",2013,1499.42082766338,130
"Dan McCarney",2014,1465.52937006253,240
"Dan McCarney",2015,1403.22314476719,317
"Dan Mullen",2009,1489.39674173671,101
"Dan Mullen",2010,1537.33736600663,48
"Dan Mullen",2011,1522.64961667197,67
"Dan Mullen",2012,1539.0825008152,60
"Dan Mullen",2013,1553.22501861116,49
"Dan Mullen",2014,1581.8620751204,32
"Dan Mullen",2015,1593.03098871554,22
"Dana Bible",2012,1493.81073224967,135
"Dana Holgorsen",2011,1567.66818932756,36
"Dana Holgorsen",2012,1535.45895853566,65
"Dana Holgorsen",2013,1484.01060866122,187
"Dana Holgorsen",2014,1516.28273751939,89
"Dana Holgorsen",2015,1553.20895713993,51
"Danny Barret",2015,1396.08927920345,321
"Danny Hope",2009,1486.93861490507,106
"Danny Hope",2010,1461.35281393424,162
"Danny Hope",2011,1491.54423409102,130
"Danny Hope",2012,1479.03678202526,174
"Darrell Dickey",2005,1432.76367604708,116
"Darrell Dickey",2006,1405.87952891014,131
"Darrell Dickey",2015,1527.65021313773,74
"Darrell Hazell",2011,1477.56443806336,165
"Darrell Hazell",2012,1520.45452765003,85
"Darrell Hazell",2013,1426.30725568617,263
"Darrell Hazell",2014,1389.51208098044,304
"Darrell Hazell",2015,1362.05296190723,329
"Dave Baldwin",2014,1540.23523447006,57
"Dave Christensen",2009,1511.1156640514,70
"Dave Christensen",2010,1455.28415876076,173
"Dave Christensen",2011,1501.04191124887,107
"Dave Christensen",2012,1486.86706591893,156
"Dave Christensen",2013,1455.01031546838,236
"Dave Clawson",2009,1488.85520758446,103
"Dave Clawson",2010,1410.95940994858,209
"Dave Clawson",2011,1411.83042869556,228
"Dave Clawson",2012,1468.33225206135,196
"Dave Clawson",2013,1533.28352379485,64
"Dave Clawson",2014,1467.34235972244,238
"Dave Clawson",2015,1430.4830723368,298
"Dave Doeren",2011,1577.78414643906,32
"Dave Doeren",2012,1610.46167476344,18
"Dave Doeren",2013,1497.6045303833,137
"Dave Doeren",2014,1527.36175810562,78
"Dave Doeren",2015,1519.55667576221,88
"Dave Steckel",2011,1540.19962891111,50
"Dave Wannstedt",2005,1485.61259279348,75
"Dave Wannstedt",2006,1482.46500716913,83
